epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.637,1.56783,3.11353,1.37377,0.00345,0.96774,0.38705,0.18898,1.37976,3.60602,1.15856,0.00042,0.00042,0.00042
2,388.974,1.49305,2.0804,1.25221,0.54559,0.12911,0.45444,0.19327,1.43055,3.43216,1.27855,0.00081743,0.00081743,0.00081743
3,581.447,1.50574,1.87072,1.2815,1,0.21269,0.44727,0.25227,1.48444,3.33108,1.36846,0.0011713,0.0011713,0.0011713
4,774.518,1.56837,1.75581,1.32241,0.16547,0.36559,0.16638,0.07486,1.52201,3.07348,1.44918,0.00148161,0.00148161,0.00148161
5,965.225,1.55533,1.66986,1.30529,0.25367,0.4086,0.23299,0.10619,1.54415,3.03877,1.61548,0.001604,0.001604,0.001604
6,1153.9,1.4998,1.51004,1.2961,0.17433,0.56989,0.18273,0.08796,1.58074,4.93123,1.55408,0.001505,0.001505,0.001505
7,1345.08,1.47568,1.45105,1.2614,0.46956,0.53763,0.43898,0.18701,1.71314,5.93444,1.61074,0.001406,0.001406,0.001406
8,1536.06,1.53464,1.46486,1.3048,0.82094,0.73118,0.8312,0.41117,1.55845,1.68746,1.34449,0.001307,0.001307,0.001307
9,1728,1.42292,1.29825,1.24305,0.85406,0.75511,0.78583,0.42615,1.43746,1.59013,1.37848,0.001208,0.001208,0.001208
10,1920.22,1.40412,1.20042,1.22903,0.87804,0.77411,0.84494,0.48361,1.42708,1.41965,1.35126,0.001109,0.001109,0.001109
11,2151.86,1.43534,1.40177,1.24568,0.82189,0.79392,0.83974,0.47943,1.3817,1.4009,1.36617,0.00101,0.00101,0.00101
12,2337.8,1.38369,1.28087,1.21233,0.81659,0.80645,0.85401,0.47666,1.40968,1.42407,1.31635,0.000911,0.000911,0.000911
13,2610.46,1.34421,1.167,1.2113,0.92402,0.78456,0.87462,0.52631,1.36013,1.14419,1.32076,0.000812,0.000812,0.000812
14,2795.64,1.33997,1.11699,1.21981,0.82253,0.8971,0.91591,0.54587,1.35367,1.10249,1.25843,0.000713,0.000713,0.000713
15,2983.28,1.31182,1.07918,1.19447,0.89636,0.84946,0.90594,0.52913,1.38087,1.09515,1.28047,0.000614,0.000614,0.000614
16,3170.06,1.33616,1.01801,1.20542,0.86974,0.86159,0.91336,0.55334,1.31677,1.03306,1.29122,0.000515,0.000515,0.000515
17,3356.19,1.3039,0.95817,1.19861,0.88746,0.89247,0.92521,0.58474,1.24352,0.97222,1.22605,0.000416,0.000416,0.000416
18,3544.22,1.2406,0.94881,1.15747,0.87643,0.91516,0.93068,0.56862,1.26329,0.9563,1.24195,0.000317,0.000317,0.000317
19,3731.97,1.19478,0.89911,1.14422,0.9099,0.90323,0.93861,0.58915,1.21442,0.90608,1.21509,0.000218,0.000218,0.000218
20,3921.78,1.1863,0.88098,1.15056,0.90599,0.90323,0.94019,0.5892,1.21982,0.90454,1.21605,0.000119,0.000119,0.000119
